,aerofaciens,anaerobius,bacterium,bartlettii,bicirculans,bifidum,breve,bromii,callidus,catus,champanellensis,comes,concisus,crossotus,dentium,disporicum,edouardi,equolifaciens,eutactus,faecis,formicigenerans,hadrus,hathewayi,hominis,inulinivorans,lenta,longicatena,longum,massiliensis,micra,mortiferum,mucilaginosa,nucleatum,obeum,paraputrificum,pectinoschiza,periodonticum,prausnitzii,provencensis,ruminantium,saccharivorans,sedimentorum,stercoris,stomatis,tayi,ulcerans,ureolyticus,varium
0,7.812557486991318,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,8.193920678152878,-3.3806301559071414,7.946087158655912,-3.3806301559071414,8.156649640406872,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,7.812557486991318,-3.3806301559071414,-3.3806301559071414,6.782962851304761,-3.3806301559071414,7.898078531931501,-3.3806301559071414,-3.3806301559071414,8.117935513465518,-3.3806301559071414,6.495293628275078,-3.3806301559071414,7.476090757421979,5.396784129040305,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,6.185157389745011,-3.3806301559071414,6.878269526692586,-3.3806301559071414,8.669999791972206,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,7.7384505738883895,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414,-3.3806301559071414
1,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,11.05670465909495,-1.4887749048345658,10.47862959515646,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,10.434178121121302,10.456650829499582,9.35805151844083,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,10.74433127973835,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658,-1.4887749048345658
2,9.048294104011228,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,9.839072215152829,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,8.68057545483667,9.255930882283346,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,9.07361156712842,-2.1429333346975543,8.881242527468824,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,8.562794909868298,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,10.46612636969872,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,9.766752022756204,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543,-2.1429333346975543
4,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,9.149038811897025,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,9.67965896504645,9.436715967766746,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,9.981936819046929,-1.6875662573029189,9.043680481379022,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,10.71763916055142,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,11.181546343731725,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189,-1.6875662573029189
5,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,9.80161875254564,-1.4811417226090615,10.059445000917094,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,9.676457288000469,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,10.464906866627299,-1.4811417226090615,10.919640654290935,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,11.285883787198934,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615,-1.4811417226090615
6,-1.2398841318887577,9.474555858839011,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,9.842273801486058,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,11.302664321684823,-1.2398841318887577,-1.2398841318887577,11.061503238889955,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,11.634020450316347,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577,-1.2398841318887577
7,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,10.432601260332287,-1.6989879198593059,10.289501245404754,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,8.887721732064822,-1.6989879198593059,9.373219836506117,-1.6989879198593059,9.250619541136093,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,10.78794037029953,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,10.636900728487564,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059,-1.6989879198593059
9,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,9.93583507907851,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,10.191765941143728,-1.4704917757715776,-1.4704917757715776,11.02045376139007,-1.4704917757715776,-1.4704917757715776,9.59099917360768,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,11.430601453578342,-1.4704917757715776,-1.4704917757715776,9.59099917360768,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776,-1.4704917757715776
18,9.77760180851706,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,8.588036871734912,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,10.470744804320665,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,8.513931014905397,10.426293231966408,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,8.782188033356372,-1.9133151811787172,10.153650408140885,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,9.82016107420683,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172,-1.9133151811787172
19,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,10.829333317592052,-1.906720327003967,8.502082835134198,-1.906720327003967,8.961604050751056,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,9.061685694804623,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,9.968396699230194,-1.906720327003967,8.725220353278875,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,10.060203637826111,-1.906720327003967,-1.906720327003967,-1.906720327003967,10.160286491541306,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967,-1.906720327003967
